2026-01-08 13:36:59 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:59 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:59 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:59 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:37:01 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:37:01 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:37:01 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:37:01 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:37:04 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:37:04 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:37:04 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:37:04 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:37:06 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:37:06 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:37:06 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:37:06 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:37:08 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:37:08 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:37:08 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:37:08 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:37:10 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:37:10 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:37:10 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:37:10 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:37:12 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
